city,company,date,detail,function,industry,job,level,state,title,type
None,north american savings bank,2022-06-07,sr data scientist mission create exceptional experiences customers help achieve dreams looking exceptional people talent passion help us make dreams come true looking career great company culture potential growth opportunity make difference lives others north american savings bank nasb deliver bestinclass customer service right financial solutions help customers achieve dreams whether buying first home planning retirement anything believe exceptional customer service starts cultivating exceptional work culture one recognizes rewards hard work provides right tools success believes healthy happy associates foundation strong organization nasb business 92 years rapid growth means looking new team members want grow us currently looking sr data scientist join team job summary nasb looking sr data scientist help us use interpret data generate insights drive business decisions data scientist part data analytics team nasb part larger application development organization working business stakeholders software developers project managers deliver data analytics products data scientist work closely managers senior leaders translate business objectives analytics requirements use centralized data repository come analysis recommendations communicate insights actions business via data visualization presentation report offer us bachelorsmasters degree statistics mathematics computer science 10 years experience data analysis 7 years experience masters 10 years experience tsql 5 years data visualization experience 3 years experience tableau experience data engineering ability work wide array data sources python experience plus required strong business acumen identifying business opportunities customer pain points comfortable dealing ambiguity ability effectively communicate senior leadership individuals areas bank background finance banking mortgage origination preferred work environment position work remotely open remote candidates following states az de fl ia il ks mo nc ne nh oh pa tx wv vaccine policy nasb vaccine policy requires employees vaccinated offer nasb offers competitive compensation excellent benefits packages including comprehensive health insurance options including medical dental vision coverage 401k retirement plan immediate employer match generous paid vacation sick personal days plus enjoy bonus day birthday exclusive mortgage banking benefits paid holidays volunteer time free parking nasb facilities employee referral bonuses internal training programs help reach career goals questions please contact jobsnasbcom note job description construed imply requirements exclusive standards position incumbents follow instructions perform related duties may required employer right revise job description time job description construed contract employment north american savings bank nasb equal opportunity affirmative action employer provide equal employment opportunities qualified employees applicants employment without regard race religion sex age marital status national origin sexual orientation citizenship status veteran status disability legally protected status prohibit discrimination decisions concerning recruitment hiring compensation benefits training termination promotions condition employment career development ,information technology,banking,data scientist,associate,None,sr data scientist,full-time
evansville,staffigo,2022-06-11,about us staffigo business providing consulting services clients various industries united states healthcare payer providers clearinghouses finance banking retail ecommerce currently seeking exceptional entrylevel talent role job description proactively manage data analytics visualization empower business collaborates closely areas business translate questions hypotheses structured analysis develop dashboards recommendations internal stakeholders presents key findings nontechnical team members detailed way utilizing visualizations needed recommends analysis investigations needed support strategic decisions ensures data integrity across performancebased metrics tracking reporting requirements masters degree computer science computer engineering related field study job duties projectbased performed longterm assignments various unanticipated sites within us may require relocation end project advanced excel skills pivot tables vlookups charts experience using relational database system oracle preferred excellent oral written communication skills understanding software development life cycle must know use power bi tableau experience handson manual data tasks excellent analytical skills ability handle multiple projects tight deadlines attention detail ability follow instructions written processes deliver requirements discriminate based race color religion marital status age national origin ancestry physical mental disability medical condition pregnancy genetic information gender sexual orientation gender identity expression veteran status status protected federal state local law powered jazzhr xlbdoqnxsx ,information technology,it services and it consulting,data analyst,entry level, in,junior data analyst,full-time
chicago,amazon,2022-06-11,job summary description amazon ml solutions lab team innovates customers fastpaced organization contributes gamechanging projects technologies get deployed devices cloud ml program manager aws ml solutions team youll partner technology business teams help customers deploy ml workloads surprise delight team working petabytes text images types data solve realworld problems seeking data engineer de passion developing data architecture tools support selfservice data analytics play critical role supporting teams finance bi building solutions support data needs one worlds largest complex data environments role ownership endtoend development data engineering solutions complex questions play integral role strategic decisionmaking successful candidate selfstarter comfortable ambiguity strong attention detail ability work fastpaced environment build manage analytical resources aws support contentrelated projects deep expertise design creation management business use extremely large datasets passionate working huge data sets eager learn new solutions answer business questions drive change role opportunity display develop skills following areas design implement support analytical platform providing ad hoc access large datasets computing power managing aws resources including ec2 rds redshift lambda etc interface technology teams extract transform load data wide variety data sources using sql aws big data technologies build robust scalable data integration etl pipelines using sql python spark continually improve ongoing reporting analysis processes automating simplifying selfservice support customers basic qualifications bachelor degree computer science mis related technical field equivalent work experience least 3 years relevant work experience analytics data engineering business intelligence related field demonstrable ability data modeling etl development data warehousing similar skills demonstrable advanced skills experience using sql large data sets eg oracle redshift experience aws technologies including redshift rds s3 proficient one programming language eg python java proven track record successful communication analytical outcomes written communication including ability effectively communicate business technical teams preferred qualifications graduate degree computer science business mathematics statistics economics quantitative field 5 years prior experience data engineer role technology company financial institution technically deep business savvy enough interface levels disciplines within organization demonstrated ability coordinate projects across functional teams including engineering product management finance operations experience aws technologies including emr kinesis experience reporting tools like tableau excel bi packages familiarity devops concepts amazon committed diverse inclusive workplace amazon equal opportunity employer discriminate basis race national origin gender gender identity sexual orientation protected veteran status disability age legally protected status individuals disabilities would like request accommodation please visit httpswwamazonjobsendisabilityus company amazon dev center us inc job id a2098513 ,"strategy/planning, analyst, and information technology","it services and it consulting, software development, and technology, information and internet",data engineer,not applicable, il,data engineer,full-time
tulsa,staffigo,2022-06-11,about us staffigo business providing consulting services clients various industries united states healthcare payer providers clearinghouses finance banking retail ecommerce currently seeking exceptional entrylevel talent role job description data analysing ms excel pivot tables vlookups make suggestions product price andor promotions ie make sense business profit standpoint analysing current product pricing performance competitors products analysing determining products onboarded discontinued using retail math minimum requirements master degree computer science computer engineering elated field study exposure agile waterfall methodology job duties projectbased performed longterm assignments various unanticipated sites within us may require relocation end project advanced level ms excel skills pivot tables vlookups etc excellent communication presentation skills must know use power bi discriminate based race color religion marital status age national origin ancestry physical mental disability medical condition pregnancy genetic information gender sexual orientation gender identity expression veteran status status protected federal state local law powered jazzhr 0c2slciijg ,information technology,it services and it consulting,data analyst,entry level, ok,junior data analyst,full-time
chattanooga,staffigo,2022-06-10,about us staffigo business providing consulting services clients various industries united states healthcare payer providers clearinghouses finance banking retail ecommerce currently seeking exceptional entrylevel talent role job description create validate send daily weekly monthly management reports clients assistance requests nonstandard reports analysis clients support management reporting maintaining hierarchy information research answering clients questions perform businesstosystem analysis troubleshooting analysis complex management reports business problems guidance report development lifecycle support impact analysis project requirements definition transform client needs functional requirements guidance collect analyze document business requirements project proposals including limited process data flow user interface security reporting requirements together managers andor senior analysts participate crossfunctional meetings customers interviewed understand customer needs identify problems appropriate solutions develop specifications analyze document business processes validate testing processes train user community support teamwork get internal external client feedback processes procedures technology requirements masters degree computer science computer engineering related field study job duties projectbased performed longterm assignments various unanticipated sites within us may require relocation end project advanced excel skills pivot tables vlookups charts experience using relational database system oracle preferred excellent oral written communication skills understanding software development life cycle must know use power bi tableau experience handson manual data tasks excellent analytical skills ability handle multiple projects tight deadlines attention detail ability follow instructions written processes deliver requirements discriminate based race color religion marital status age national origin ancestry physical mental disability medical condition pregnancy genetic information gender sexual orientation gender identity expression veteran status status protected federal state local law powered jazzhr mwcxzcc39c ,information technology,it services and it consulting,data analyst,entry level, tn,jr. data analyst,full-time
manchester,staffigo,2022-06-10,about us staffigo business providing consulting services clients various industries united states healthcare payer providers clearinghouses finance banking retail ecommerce currently seeking exceptional entrylevel talent role job description create validate send daily weekly monthly management reports clients assistance requests nonstandard reports analysis clients support management reporting maintaining hierarchy information research answering clients questions perform businesstosystem analysis troubleshooting analysis complex management reports business problems guidance report development lifecycle support impact analysis project requirements definition transform client needs functional requirements guidance collect analyze document business requirements project proposals including limited process data flow user interface security reporting requirements together managers andor senior analysts participate crossfunctional meetings customers interviewed understand customer needs identify problems appropriate solutions develop specifications analyze document business processes validate testing processes train user community support teamwork get internal external client feedback processes procedures technology requirements masters degree computer science computer engineering related field study job duties projectbased performed longterm assignments various unanticipated sites within us may require relocation end project advanced excel skills pivot tables vlookups charts experience using relational database system oracle preferred excellent oral written communication skills understanding software development life cycle must know use power bi tableau experience handson manual data tasks excellent analytical skills ability handle multiple projects tight deadlines attention detail ability follow instructions written processes deliver requirements discriminate based race color religion marital status age national origin ancestry physical mental disability medical condition pregnancy genetic information gender sexual orientation gender identity expression veteran status status protected federal state local law powered jazzhr 9adilvbjwf ,information technology,it services and it consulting,data analyst,entry level, nh,jr. data analyst,full-time
annapolis,intelliforce llc,2022-06-08,we seeking talented data scientists develop analytic solutions problems involving extracting meaning large datasets makes intelliforceitsg unique emphasis providing team full suite benefits perks designed create harmony work life personal life support careerpathing plans team benefits like tuition training reimbursements continue feel professionally satisfied capable solving everchanging technical improvements needed personal attention home life team distinguishes us zero lowcost medical benefits expansive paid time paid training time plethora reimbursements perks including special incentives improve quality life organize familyinclusive events outings ranging movies tailgate parties crab feasts endofyear holiday party travel retreats bring team together give us chance come together unwind recharge must ability use combination mathematicalcomputationalstatistical foundations data processing modeling inference prediction devise strategies extracting meaning value large datasets talent using analytic modeling statistical analysis programming andor scientific methods develop implement methods characterizing exploring assessing large datasets various states cleanliness organization structure desire valuable part team wants help reach professional milestones bachelors degree mathematics physics engineering computer science 15 years experience associate degree 17 years experience active tssci polygraph required ,engineering and information technology,"it services and it consulting, defense and space manufacturing, and software development",data scientist,entry level, md,data scientist iv,full-time
new york,bloomberg lp,2022-06-10,our team equities data analysts primary responsibility support maintain third party datasets primarily gfanz global net zero also bloomberg intelligence including pharm part third party data delivery clients role works closely engineering technical data analysts support delivery etl pipelines ensure data production top quality focus data acquisition processing validation storage constantly innovating create better efficient systems handle huge variety data acquire deliver clients strong working relationships data teams departments engineering utilize network achieve results lot growth opportunities tenured technical positions well trust maintain support etl third party delivery pipeline identifying areas improved troubleshoot issues provide clear root cause analysis clear communication outages identify areas quality control ensure data accuracy provide customer support internal users bloomberg data across product data teams identify implement improvements etl process dashboards terminal contribute continuous improvement generating ideas improve pipelines dashboards participate ad hoc projects optimize processes andor improve quality data set utilize statistics data visualizations skills report ongoing operations management youll need babs degree higher computer science relevant data technology field equivalent professional work experience software development legal authorization work us without visa sponsorship future demonstrated project work experience using one programmingscripting languages ability recognize opportunities process improvement well devise implement innovative solutions excellent written verbal communication skills strong attention detail high degree demonstrated decisionmaking problem solving skills eagerness learn collaborate others customer focused mindset ability work pressure frequently changing environment sound like apply think good match well get touch let know next steps please note two stage application process following submission candidate details receive email directions complete online assessment application complete submitted assessment meantime feel free look httpswwbloombergcomcareersglobaldata bloomberg equal opportunity employer value diversity company discriminate basis age ancestry color gender identity expression genetic predisposition carrier status marital status national ethnic origin race religion belief sex sexual orientation sexual reproductive health decisions parental caring status physical mental disability pregnancy maternityparental leave protected veteran status status victim domestic violence classification protected applicable law bloomberg disability inclusive employer please let us know require reasonable adjustments made recruitment process would prefer discuss confidentially please email amerrecruitbloombergnet ,information technology,"it services and it consulting, information services, and financial services",data analyst,entry level, ny,equities data analyst,full-time
None,lawrence harvey,2022-06-09,data analyst cyber security role lead financial services organization looking hire data analyst security services team permanent basis represents exceptional opportunity work within highly regulated fs sector within flexible organization excellent work life balance company promotes stability market integrity delivering clearing settlement services options futures securities lending transactions role opportunity work various security services team members management responsible leading development maintenance companys metrics program performing business data analytics supporting automation efforts responsibilities include development implementation best practices regarding gathering reporting automation representation security kpi kri various occ stakeholders recommend appropriate metrics reporting frameworks standards recommend implement automation key risk indicators cyber security reportsdashboards eg implementing data pipelines automating delivery data automating assembly datadashboard implement kpi metrics dashboards data pipelines automatically refresh underlying data work process owners manage analytics projects including identifying needs building requirements developing project plan youll need 3 years experience working data analyst understanding cyber security risk key risk indicators experience building reports dashboard illustrate kpis python r sql unixlinux similar languages strong use excel tableau servicenow archer plus must located chicago dallas jersey city hybrid work schedule 2 days office 3 days remote questions regarding exceptional opportunity data analyst cyber security please contact mitchell coyle mcoylelawrenceharveycom 3107734970 ,"information technology, finance, and analyst",financial services,data analyst,mid-senior level,greater chicago area,data analyst,full-time
rochester,staffigo,2022-06-10,about us staffigo business providing consulting services clients various industries united states healthcare payer providers clearinghouses finance banking retail ecommerce currently seeking exceptional entrylevel talent role job description create validate send daily weekly monthly management reports clients assistance requests nonstandard reports analysis clients support management reporting maintaining hierarchy information research answering clients questions perform businesstosystem analysis troubleshooting analysis complex management reports business problems guidance report development lifecycle support impact analysis project requirements definition transform client needs functional requirements guidance collect analyze document business requirements project proposals including limited process data flow user interface security reporting requirements together managers andor senior analysts participate crossfunctional meetings customers interviewed understand customer needs identify problems appropriate solutions develop specifications analyze document business processes validate testing processes train user community support teamwork get internal external client feedback processes procedures technology requirements masters degree computer science computer engineering related field study job duties projectbased performed longterm assignments various unanticipated sites within us may require relocation end project advanced excel skills pivot tables vlookups charts experience using relational database system oracle preferred excellent oral written communication skills understanding software development life cycle must know use power bi tableau experience handson manual data tasks excellent analytical skills ability handle multiple projects tight deadlines attention detail ability follow instructions written processes deliver requirements discriminate based race color religion marital status age national origin ancestry physical mental disability medical condition pregnancy genetic information gender sexual orientation gender identity expression veteran status status protected federal state local law powered jazzhr 6k2e8xscbi ,information technology,it services and it consulting,data analyst,entry level, ny,jr. data analyst,full-time
augusta,staffigo,2022-06-10,about us staffigo business providing consulting services clients various industries united states healthcare payer providers clearinghouses finance banking retail ecommerce currently seeking exceptional entrylevel talent role job description data analysing ms excel pivot tables vlookups make suggestions product price andor promotions ie make sense business profit standpoint analysing current product pricing performance competitors products analysing determining products onboarded discontinued using retail math minimum requirements master degree computer science computer engineering elated field study exposure agile waterfall methodology job duties projectbased performed longterm assignments various unanticipated sites within us may require relocation end project advanced level ms excel skills pivot tables vlookups etc excellent communication presentation skills must know use power bi discriminate based race color religion marital status age national origin ancestry physical mental disability medical condition pregnancy genetic information gender sexual orientation gender identity expression veteran status status protected federal state local law powered jazzhr vxjges2voo ,information technology,it services and it consulting,data analyst,entry level, me,junior data analyst,full-time
san diego,manpowergroup,2022-06-14,note c2c position requirements accomplished visualizing data using tableau build operational executive dashboards competent querying manipulating data sql environments understands elicit analyze manage business requirements command visualization best practices intermediate ms excel skills including pivot tables data connections powerquery curious detail oriented analytical proven ability learn quickly customerfocused teamoriented motivated taking ownership assigned tasks proven ability selfmanage well manage interdisciplinary relationships good verbal written communication troubleshooting skills able work independently require prescriptive instructions work ambiguity exploring offering recommendations achieve desired outcome preferred experienceeducationskills experience following plus atlassian tools suite especially jira alteryx snowflake python denodo sharepoint ssrs typically requires minimum 8 years related experience bachelor degree 6 years master degree phd 3 years experience equivalent work experience comments remote hybrid hybrid sd location initial interview mgmt lead andor hm potential second team interviewteams video ,information technology,biotechnology research,data analyst,mid-senior level, ca,senior data analyst,contract
raleigh,staffigo,2022-06-10,about us staffigo business providing consulting services clients various industries united states healthcare payer providers clearinghouses finance banking retail ecommerce currently seeking exceptional entrylevel talent role job description create validate send daily weekly monthly management reports clients assistance requests nonstandard reports analysis clients support management reporting maintaining hierarchy information research answering clients questions perform businesstosystem analysis troubleshooting analysis complex management reports business problems guidance report development lifecycle support impact analysis project requirements definition transform client needs functional requirements guidance collect analyze document business requirements project proposals including limited process data flow user interface security reporting requirements together managers andor senior analysts participate crossfunctional meetings customers interviewed understand customer needs identify problems appropriate solutions develop specifications analyze document business processes validate testing processes train user community support teamwork get internal external client feedback processes procedures technology requirements masters degree computer science computer engineering related field study job duties projectbased performed longterm assignments various unanticipated sites within us may require relocation end project advanced excel skills pivot tables vlookups charts experience using relational database system oracle preferred excellent oral written communication skills understanding software development life cycle must know use power bi tableau experience handson manual data tasks excellent analytical skills ability handle multiple projects tight deadlines attention detail ability follow instructions written processes deliver requirements discriminate based race color religion marital status age national origin ancestry physical mental disability medical condition pregnancy genetic information gender sexual orientation gender identity expression veteran status status protected federal state local law powered jazzhr 1zxfp51ww3 ,information technology,it services and it consulting,data analyst,entry level, nc,jr. data analyst,full-time
chicago,jobot,2022-06-14,100 remote jobot job hosted kyle shaw fit easy apply clicking apply button sending us resume salary 170000 190000 per year bit us start supply chain space focused building advanced ai machine learning driven products better optimize inventory supply chain processes leverage nlp help identify inefficient shipping routes duplicate missing inventory streamline businesses shipping processes needs better met customers happier recently landing 25 million funding substantial growth mode looking principal data scientist join team seeking someone experience leading projects teams deep understanding model building working array ml deep learning tools ideally candidates experience exposure technologies skillsets 5 years professional data science experience experience leading teams projects machine learning deep learning experience pydata stack pytorch tensorflow nlp etc experience building ml pipelines deploy aws exposure bi data visualization tools industry experience logistics supply chain added bonus advanced degrees math stats etc added bonus join us growing substantially recently receiving series b round funding offer competitive base salaries along equity great health benefits pto 401k flexibility work 100 remotely job details lead projects mentor less senior data scientists build predictive deep learning models revolutionize supply chain space optimize existing deep learning models improve data ingestion predictive capabilities interested hearing easy apply clicking apply button ,engineering and information technology,software development,data scientist,mid-senior level, il,principal data scientist,full-time
dallas,anblicks,2022-06-09,qualifications strong sql excel data analysis skills strong verbal written communication skills ability collaborate multiple stakeholders effective time management skills independent thinker able thrive limited supervision responsibilities work closely onaccount teams clients data management data governance data quality activities new client transition projects portfolio data standardization stewardship design transition onaccount data governance framework including establishing clientside complementary mirroring organizational structures client data governance coordination data quality management including monitoring remediation mentoring operation staff onaccount lines business support operations analytics provide input new existing data standards identify communicate opportunities transition process improvements ,other,it services and it consulting,data specialist,associate, tx,new client transition data specialist,contract
None,reify health,2022-06-06,our unique rapidly growing data streams enabling novel opportunities manage clinical trials efficiently predictably data science analytics division looking talented data science analytics lead explore data distill insights unlock opportunities clinical professionals youre empathetic resultsdriven want put unique analytical skills work help clinical research community may role fastgrowing company looking people effectively balance rapid execution delivery statisticalmathematical rigor serve business effectively strong opinions weakly held wellversed technically know choose right tool right job right level complexity work alignment data engineering data products divisions benefitting architecture tooling technical expertise also collaborate projects company stakeholders across design product product engineering youll working quantitatively exploring rich historical data sites pharmaceutical sponsors stakeholders use uncover applicable insights enable effective trial support predictable study management decisions collaborating diverse teams technical nontechnical stakeholders deliver insights reports visualizations dashboards mediums developing clean reusable testable analytical code make use existing data team libraries modules learning effectively understand deftly navigate global compliance ecosystem hipaa gdpr etc ensure work respects rights regulations consent preferences stakeholders including historically underserved underrepresented populations developing deep understanding clinical ecosystem products data models business uniquely interact help people bring reify health 4 years experience successfully developing delivering actionable analytical reports ideally space similar startup healthcare regulated data comfort statistical methods including frequentist statistics regression modeling hypothesis testing competency working scalably python r leveraging deliver analytical insights expertise sql working structured unstructured data variety cloudbased eg s3 aws redshift rds postgres geospatial sets offline sources comfort modern data analytics bi environments jupyter dash quicksight etc great communication skills work comfortably technical nontechnical stakeholders develop requirements advanced degree statistics mathematics applied analytics related field value diversity believe unique contributions us brings drives success discriminate basis race sex religion color national origin gender identity age marital status veteran status disability status note reify health unable sponsor work visas time nonus resident applicant please note reify works professional employer organization ,engineering and information technology,software development,data scientist,mid-senior level,None,senior data scientist,full-time
baltimore,carefirst bluecross blueshield,2022-06-08,resp qualifications company summary carefirst inc affiliated companies generally referred carefirst bluecross blueshield carefirst midatlantic region largest private sector health insurer serving healthcare needs 35 million members maryland district columbia portions northern virginia company offers comprehensive portfolio products services individuals groups well state federal government sponsored plans market share almost three times closest competitor company commands 45 percent penetration across region july 2018 brian pieninck assumed role president ceo serving company coo strategic business units division leadership organization completed extensive review operations clinical programs resulting expansive 3year strategy grow diversify company core business along 5year vision drive transformation healthcare experience across continuum members partners communities company placed renewed intentional focus fostering missionbased culture drives every decision company makes organization employs 5600 fulltime employees maryland northern virginia district columbia west virginia carefirst earned multiple workplace awards recognizing leadership diversity inclusion wellness engagement creation supportive equitable work environment employees carefirst part inspired collaborative team building healthcare experience want families future every day make meaningful difference communities live work practice empathy seek understand invest inclusion demand equity nurture belonging every day employees communities serve rely rich diversity employees experiences backgrounds achieve mission every year host week equity action deepen investment commitment diversity equity inclusion week thousands employees engage workshops volunteerism goal bettering community women make around 70 carefirst employee population 50 identify bipoc black indigenous people color 9 resource groups connect employees shared identities lgbtq veteran status race etc passions climate change healthy living leadership development employees encouraged give back volunteer communities civic engagement hours notforprofit carefirst regularly ranks among philanthropic organizations 65 million invested community 2020 improve overall health increase accessibility affordability safety quality healthcare throughout market area company employees consistently add impact devoting thousands volunteer hours numerous community organizations social causes company continued efforts reinvest community health care programs repeatedly earned carefirst regional accolades leading corporate philanthropist including 2 7 spots baltimore business journal washington business journal 2019 list top corporate givers respectively purpose better support members wellbeing community health carefirst establishing public health function within health services division goal function provide leadership support carefirst enterprise surrounding communities maryland district columbia northern virginia improving population health outcomes focus achieving health equity data scientist part public health team working develop drive corporate priorities alignment bluecross blueshield association national heath equity strategy regularly engaging state local health departments service areas support local public health system activities developing disseminating knowledge base ie actionable data analyses evidencebased informed strategies supports enterprise regional public health system effectively driving health equity direction senior leadership data scientist support development implementation data research agenda public health function identifies solves business problems using various numerical techniques algorithms models statistical modeling machine learning operations research data mining uses advanced analytical capabilities support data science initiatives communicates across product teams customers educates artificial intelligence machine learning statistical models acting liaison interface analytics business units departments essential functions mines extracts data applies algorithms derive insights explores data understand data profile limitationsinterprets data identify trends factors contributing population health outcomes specific attention identifying disparate outcomes within subpopulations assists business units innovation organizational performance explores data patterns using existing data science tools ensuring actionable data analyses supports driving population health improvements health equity lens translates business priorities data science deliverables reviews trends mlaids space assists integrating new mlai designs solutions products supervisory responsibility position direct reports expected assist guiding mentoring less experienced staff may lead team matrixed resources qualifications education level bachelors degree statistics mathematics computer science related field lieu bachelors degree additional 4 years relevant work experience required addition required work experience experience 3 years relevant work experience preferred qualifications master public health epidemiology biostatistics emphasis proficient knowledge statistical analytic software sas spss stata statistical data visualization eg tableau experience geographic information systems ex arcgis experience writing presenting comprehensive statistical analytical reports strong interpersonal skills required teamwork experience working collaboratively diverse stakeholders necessary data scientist work effectively matrixed environment knowledge skills abilities ksas ability work independently without detailed guidance ability communicate effectively document objectives procedures ability leverage variety data science tools frameworks knowledge model evaluation tuning performance operationalization scalability scientific techniques knowledge software engineering principles practices proficiency statistical modeling applications must able meet established deadlines handle multiple customer service demands internal external customers within set expectations service excellence must able effectively communicate provide positive customer service every internal external customer including customers may demanding otherwise challenging department department public health equal employment opportunity carefirst bluecross blueshield equal opportunity eeo employer policy company provide equal employment opportunities qualified applicants without regard race color religion sex sexual orientation gender identity national origin age protected veteran disabled status genetic information hire range disclaimer actual salary based relevant job experience work history apply please visit website apply wwcarefirstcomcareers federal discphysical demand note incumbent required immediately disclose debarment exclusion event makes himher ineligible perform work directly indirectly federal health care programs physical demands associate primarily seated performing duties position occasional walking standing required hands regularly used write type key handle feel small controls objects associate must frequently talk hear weights 25 pounds occasionally lifted sponsorship us must eligible work us without sponsorship ,engineering and information technology,"it services and it consulting, financial services, and hospitals and health care",data scientist,entry level, md,data scientist ( public health epidemiologist ),full-time
boca raton,"celsius holdings, inc.",2022-06-17,if looking opportunity provides satisfaction personal growth encourage apply edi specialist opening promptly review applications highly qualified candidates contacted interviews electronic data interchange edi specialist responsible functional receipt maintenance daily data transactions celsius business partners position heavy contact end users customers 3pls trading partners vendors position responsibilities review raw ansi code data identify errors order processing responsible management upkeep edi system responsible managing edi order process accurate timely manner responsible management upkeep edi system maintain orders customers individual edi platforms interact several programs transfer customer orders verify pricing customer data conversions apply appropriate discounts ensure 100 compliance verify release edi orders manually enter nonedi orders replacements return authorizations prepare process 850 855 856 810 work trading partners resolve issues edi orders chargebacks short ships provide pod etc manual data entry needed erp system third party edi provider portal edi customer orders manual asn entry necessary analyze design develop specifications enhancements extensions electronic data interchange application interfaces maps write sql queries reports document changes related edi erp activity regarding edi test implement maintain edi transactions minimum job requirements minimum 3 years mapping edi transactions onboarding new trading partners dynamics great plains erp knowledge bachelor degree equivalent 1 year power apps automate 2 years sql administration minimum 35 years relevant business experience edi systems true commerce andor supply chain experience proficiency microsoft office suite word excel outlook daily error analysis research 1 year ansi code analysis reprocessing process monitor inbound outbound edi documents act liaison vendor multiple corporate teams regarding edi 23 years monitoring slas kpis ensure performance meeting expectations knowledge skills abilities proven 35 years administrator experience true commerce edi great plains erp amazon vendor central strong sql power automate power bi data analysis skills applications experience microsoft visual studio 25 years java development experience strongly preferred strong problemsolving skills demonstrates strong data information analysis background distribution supply chain management accounting understanding databases file structures ability promote positive team environment strong experience providing customer service internal external parties administrative knowledge erp crm cloudbased software ability communicate effectively orally writing strong time management organizational skills initiative professional demeanor positive attitude 2 years project management skills knowledge sdlc structured development life cycle ability promote positive team environment information designed indicate general nature level work performed employees within classification designed contain interpreted comprehensive inventory duties responsibilities qualifications required employees assigned job celsius holdings inc celebrates diversity committed creating inclusive environment employees proud provide equal employment opportunities eeo employees applicants employment without regard race color religion sex national origin age disability genetics sexual orientation gender identity gender expression believe strongly fostering safe fair respectful work environment ,information technology,manufacturing,data specialist,associate, fl,electronic data interchange specialist,full-time
None,warnermedia,2022-06-10,company overview warnermedia showcases iconic cherished entertainment news sports brands world much warnermedia truly art meets science combination cuttingedge technology unrivaled commitment groundbreaking storytelling builds sense community meaningful connection shaping future media create rewarding opportunities across entire family brands championing spirit inclusion innovation selfdevelopment support join warnermedia think big live true make stories move world application deadline sunday july 10 1159 pm pst job wm sports data strategy intern help align data strategies across various sports brands functional groups intern gather data needs gaps requirements various stakeholders document analyze feasibility various internal external data solutions intern work wm sports data strategy team develop enterpriselevel data roadmap used guide future development growth brands data crm goals daily meet stakeholders across functional groups understand capture data related needs gaps requirements work wm sports data strategy team document align data needs identify internal external solutions familiarize self various technology platforms used wm sports data strategy familiarize self various sports brands business units within brand eg ncaa shop vs ncaa march madness essentials bachelor science degree business management analytics data science mathematics masters degree preferred experience working digital consumer data large complex data sets excellent business interpersonal communication skills written verbal ability present technical topics clearly concisely nontechnical colleagues knowledge scripting language sql python javascript knowledge various data structures json xml experience working analytics platforms adobe analytics google analytics internship program students must currently enrolled college degree program full duration internship companyissued computer provided duration internship program competitive salary relocation provided handson work passionate talented team members field networking opportunities industryleading professionals engaging events including executive speakers sessions professional development workshops internship program students must currently enrolled college degree program full duration internship fall 2022 program dates october 3rd december 9th must available full program duration parttime schedule 1624 hoursweek required companyissued computer secured remote access provided duration internship program competitive salary relocation provided handson work passionate talented team members field networking opportunities industryleading professionals engaging events including executive speaker sessions professional development workshops perks exclusive warnermedia events advance screenings paid time every year volunteer eligible employees access wellbeing tools resources freebies access inhouse learning development resources part warnermedia family powerhouse brands warnermedia embraces opportunity build workforce reflects diversity society world around us equal opportunity employer means take seriously responsibility consider qualified candidates basis merit without regard race color religion national origin gender sexual orientation gender identity expression age mental physical disability genetic information marital status citizenship status military status protected veteran status category protected law qualified candidate disability need reasonable accommodation order apply position please contact us recruitadminwarnermediacom ,other,movies and sound recording,None,internship,ga,"fall virtual 2022 intern, sports data strategy",part-time
